date,mover,low_signal_return,high_signal_return,high_minus_low_signal_return,low_abs_return,high_abs_return,low_mean_rank,high_mean_rank,n_low,n_high
2015-02-02,positive,0.03998920741675393,0.04960439588742734,0.009615188470673414,0.03998920741675393,0.04960439588742734,0.8880811693360285,0.9121386303879919,218,219
2015-02-02,negative,-0.010323713239818778,-0.014348073568824124,-0.004024360329005347,0.010323713239818778,0.014348073568824124,0.10894968207205806,0.09123355200948112,218,218
2015-02-03,positive,0.047561421995594266,0.06991399384305742,0.022352571847463157,0.047561421995594266,0.06991399384305742,0.8801865541486128,0.9199971971042321,218,219
2015-02-03,negative,-0.0054886705197515415,-0.008618247640342538,-0.003129577120590997,0.006758789722100787,0.009498190499610771,0.1079977894236952,0.09218544465784398,218,218
2015-02-04,positive,0.013879905430073593,0.022747133152427018,0.008867227722353425,0.013879905430073593,0.022747133152427018,0.8844708862039756,0.9157128528865157,218,218
2015-02-04,negative,-0.028905421383003206,-0.03816151221607433,-0.00925609083307112,0.028905421383003206,0.03816151221607433,0.11500415953125363,0.08533964339445327,217,218
2015-02-05,positive,0.04665431324385397,0.05156928859260305,0.00491497534874908,0.04665431324385397,0.05156928859260305,0.8815627079805562,0.9187127741131076,218,218
2015-02-05,negative,-0.006029499328441968,-0.01367631874118002,-0.007646819412738052,0.006113891882360071,0.013764810577074984,0.1110233038385531,0.08921049527805157,217,218
2015-02-06,positive,0.019575820988818802,0.031194921541198684,0.011619100552379882,0.019575820988818802,0.031194921541198684,0.884976431799784,0.9151154799649217,218,218
2015-02-06,negative,-0.02951551572251506,-0.03961015490263929,-0.01009463918012423,0.02951551572251506,0.03961015490263929,0.11457521516671185,0.08585844745008094,217,218
2015-02-09,positive,0.01721589173584882,0.02903005173226956,0.011814159996420739,0.01721589173584882,0.02903005173226956,0.8868378096695655,0.913193725463681,217,218
2015-02-09,negative,-0.021359600427499344,-0.028854850502301955,-0.0074952500748026105,0.021359600427499344,0.028854850502301955,0.1122271585860537,0.08814133519561375,217,217
2015-02-10,positive,0.0222251282553097,0.03132255152389503,0.009097423268585328,0.0222251282553097,0.03132255152389503,0.8871350349448196,0.9131417178227083,217,217
2015-02-10,negative,-0.022039408179587557,-0.03174246207836291,-0.009703053898775356,0.022039408179587557,0.03174246207836291,0.11055269406860735,0.08968001258353597,216,217
2015-02-11,positive,0.01358960622300362,0.024687952663097593,0.011098346440093974,0.01358960622300362,0.024687952663097593,0.8831988362462571,0.9167240941952395,217,218
2015-02-11,negative,-0.019317568415712204,-0.027794679392752226,-0.008477110977040021,0.019317568415712204,0.027794679392752226,0.11352863726135616,0.0869321922317314,217,217
2015-02-12,positive,0.031662817295386635,0.04260851594175652,0.010945698646369885,0.031662817295386635,0.04260851594175652,0.8857896748709889,0.9141451401513551,217,218
2015-02-12,negative,-0.005745119936497381,-0.012952530168910042,-0.007207410232412661,0.005772153174494143,0.012974818192241758,0.11318779332752872,0.08727303616555884,217,217
2015-02-13,positive,0.029749720846081955,0.04032423332934505,0.010574512483263097,0.029749720846081955,0.04032423332934505,0.8863684211645567,0.9138161658220607,217,217
2015-02-13,negative,-0.011296795574817532,-0.02093302092586807,-0.009636225351050538,0.011296795574817532,0.02093302092586807,0.11970594267548582,0.08066111062672386,216,217
2015-02-17,positive,0.020127530090941367,0.029970480101469618,0.009842950010528251,0.020127530090941367,0.029970480101469618,0.8855858056021577,0.914348074240054,217,218
2015-02-17,negative,-0.018062587323788924,-0.021894102247656498,-0.003831514923867574,0.018062587323788924,0.021894102247656498,0.1075431629467604,0.09291766654632717,217,217
2015-02-18,positive,0.020182394581246405,0.025441352344178384,0.00525895776293198,0.020182394581246405,0.025441352344178384,0.885568458970043,0.9144572534535726,217,218
2015-02-18,negative,-0.019529765945520854,-0.027340990457395475,-0.007811224511874621,0.019529765945520854,0.027340990457395475,0.11035178844721051,0.09001670533445694,217,217
2015-02-19,positive,0.015259311272663504,0.02503489080108916,0.009775579528425657,0.015259311272663504,0.02503489080108916,0.8817589590516872,0.9186115828658672,216,216
2015-02-19,negative,-0.020117735412745863,-0.027085549800213132,-0.006967814387467269,0.020117735412745863,0.027085549800213132,0.10782877516507428,0.0922998902098022,215,216
2015-02-20,positive,0.017478393177259258,0.030124463089011736,0.012646069911752478,0.017478393177259258,0.030124463089011736,0.8774694938558049,0.9225305061441952,216,216
2015-02-20,negative,-0.01479591723297453,-0.01984337703441779,-0.00504745980144326,0.01479591723297453,0.01984337703441779,0.10889116710732209,0.09161295866632295,215,216
2015-02-23,positive,0.013619039821199089,0.023874433301248117,0.010255393480049028,0.013619039821199089,0.023874433301248117,0.8811151929191373,0.9188848070808627,216,216
2015-02-23,negative,-0.021271487076524032,-0.02631051901379621,-0.005039031937272179,0.021271487076524032,0.02631051901379621,0.10970377165056924,0.09080411618114635,215,216
2015-02-24,positive,0.021008639785411422,0.027853093700720866,0.006844453915309443,0.021008639785411422,0.027853093700720866,0.8917257454670449,0.9082742545329552,216,216
2015-02-24,negative,-0.01630228013499507,-0.023320804181548953,-0.007018524046553884,0.01630228013499507,0.023320804181548953,0.11412291587978202,0.08640543095299476,215,216
2015-02-25,positive,0.021028236535430414,0.031272745319213834,0.01024450878378342,0.021028236535430414,0.031272745319213834,0.889011172896715,0.9112668623210792,216,216
2015-02-25,negative,-0.01489066499816582,-0.023258090130767843,-0.008367425132602023,0.01489066499816582,0.023258090130767843,0.10919563764898592,0.09103186249270587,215,216
2015-02-26,positive,0.015614990241197788,0.028985312792036286,0.013370322550838499,0.015614990241197788,0.028985312792036286,0.8821748542524005,0.9177430022188086,216,217
2015-02-26,negative,-0.021997839525589317,-0.032272307975937914,-0.010274468450348597,0.021997839525589317,0.032272307975937914,0.11452760631001373,0.08593535665294924,216,216
2015-02-27,positive,0.01762613427676773,0.026257341457359428,0.0086312071805917,0.01762613427676773,0.026257341457359428,0.8884870113168724,0.9119759516460907,216,216
2015-02-27,negative,-0.01807232060778363,-0.031243700085627362,-0.013171379477843734,0.01807232060778363,0.031243700085627362,0.11861496913580247,0.0818479938271605,216,216
2015-03-02,positive,0.02299093587839426,0.03033411282544062,0.007343176947046358,0.02299093587839426,0.03033411282544062,0.8868214016514202,0.9133024550574012,216,217
2015-03-02,negative,-0.023695786463140057,-0.02711609958442661,-0.0034203131212865515,0.023695786463140057,0.02711609958442661,0.1093423441943331,0.09093517661972796,216,216
