mover,horizon,n_days,baseline_return_pct,low_avol_return_pct,high_avol_return_pct,spread_pct,median_spread_pct,naive_t,hac_se_pct,hac_t,directional_pct
positive,1,2511,0.007179324897886757,0.005802710243925048,0.008544540259756784,0.002741830015831766,0.01070677715055,0.2701286729724285,0.01014806746554047,0.2701824781065096,50.89605734767025
positive,3,2511,-0.013660050134193255,-0.009207262885580453,-0.01808296840418622,-0.008875705518605824,0.004623024284432231,-0.512533202797914,0.020497135542694844,-0.43302175077673855,50.29868578255675
positive,5,2511,-0.017613960918573417,-0.014792832665192334,-0.020478712650133332,-0.005685879984941189,0.02336426132233,-0.2580271337835194,0.02932489649772717,-0.19389258493655365,51.05535643170052
negative,1,2511,-0.0009564085758279901,-0.019055105572505403,0.017130446779365916,0.03618555235187117,0.030947905836649997,3.2057467229063765,0.01128546618145282,3.206385254278689,47.03305455993628
negative,3,2511,0.042710751296974984,-0.007207145302216987,0.09256657833663011,0.09977372363884679,0.06767107068563,5.340410694287227,0.02282584034825246,4.37108654562571,46.15690959776981
negative,5,2511,0.08075736205739915,-0.000897684820425461,0.16227398056332204,0.16317166538374703,0.1492058462777,6.740261797245144,0.03548614237991907,4.598179865165698,43.24970131421744
