signal_date,horizon,mover,low_avol_return,high_avol_return,spread,n_low,n_high
2015-02-02,1,positive,0.03401155459980942,0.03819604508110054,0.004184490481291124,217,219
2015-02-02,1,negative,0.01498581481918267,0.01771966932055055,0.0027338545013678786,218,217
2015-02-03,1,positive,-0.01218881857997439,-0.02066502560997817,-0.008476207030003778,218,219
2015-02-03,1,negative,-0.0013862126466434878,-0.0035195136489394587,-0.002133301002295971,218,218
2015-02-04,1,positive,0.008918226558174994,0.012632922339958465,0.003714695781783472,218,218
2015-02-04,1,negative,0.019531878208491914,0.021258099443576126,0.0017262212350842125,217,218
2015-02-02,3,positive,0.037196049658454945,0.04466269351634837,0.007466643857893425,217,219
2015-02-02,3,negative,0.02412732251827783,0.024935626511443626,0.0008083039931657959,218,217
2015-02-05,1,positive,-0.0003184681256000287,-0.0008204801035947643,-0.0005020119779947357,218,218
2015-02-05,1,negative,-0.002123314261243314,-0.001570107679037121,0.0005532065822061931,217,218
2015-02-03,3,positive,0.005746331371582814,0.007353951931607789,0.0016076205600249749,218,219
2015-02-03,3,negative,-0.0011088955777292233,-0.004115387100554452,-0.0030064915228252284,218,218
2015-02-06,1,positive,-0.0016258813074296779,0.00015503428495530948,0.0017809155923849873,218,218
2015-02-06,1,negative,-0.0042223728248719705,-0.006468258754517279,-0.002245885929645308,217,218
2015-02-04,3,positive,-0.0018734625691949858,0.0018314437656792477,0.0037049063348742334,218,218
2015-02-04,3,negative,0.01854083517005104,0.02546605757688527,0.006925222406834228,217,218
2015-02-02,5,positive,0.04013326930023203,0.050391795870502756,0.010258526570270723,217,219
2015-02-02,5,negative,0.0114530717105619,0.012614409254131265,0.001161337543569365,218,217
2015-02-09,1,positive,-0.006655859470280321,-0.010139860564285634,-0.0034840010940053135,217,217
2015-02-09,1,negative,0.005471448615407671,0.004809007824587132,-0.0006624407908205395,217,217
2015-02-05,3,positive,-0.003714413386251524,-0.006006351531615735,-0.002291938145364211,218,218
2015-02-05,3,negative,-0.0032499997982347387,-0.001649905211120818,0.0016000945871139207,217,218
2015-02-03,5,positive,0.001890269636026444,-0.002039403412999834,-0.003929673049026278,218,218
2015-02-03,5,negative,-0.0029666952231026207,-0.0039286668659378006,-0.0009619716428351799,218,218
2015-02-10,1,positive,-0.001753329179080674,-0.00011961012207805544,0.0016337190570026186,217,217
2015-02-10,1,negative,-0.00563723000310165,-0.003416780776431002,0.002220449226670648,216,217
2015-02-06,3,positive,-0.007201178081914339,-0.00777424421984698,-0.0005730661379326407,218,218
2015-02-06,3,negative,-0.005308717126188039,-0.007011354385770601,-0.001702637259582562,217,218
2015-02-04,5,positive,0.00438871771224627,0.0051767553508120625,0.0007880376385657924,218,217
2015-02-04,5,negative,0.007817639181715578,0.00772749258796136,-9.014659375421782e-05,217,218
2015-02-11,1,positive,0.00973963657841466,0.017502467771685962,0.007762831193271303,217,218
2015-02-11,1,negative,0.011827839350003875,0.010060722938036873,-0.0017671164119670013,217,217
2015-02-09,3,positive,0.009067585353806152,-0.00491548871444615,-0.013983074068252301,217,217
2015-02-09,3,negative,0.013859090264415388,0.017939449186234257,0.004080358921818869,217,217
2015-02-05,5,positive,0.009089821108194592,0.005252117669439198,-0.0038377034387553936,218,218
2015-02-05,5,negative,0.0030915479090055957,0.008523829104304553,0.005432281195298957,217,218
2015-02-12,1,positive,0.011344215334239608,0.009707566135071507,-0.0016366491991681009,217,218
2015-02-12,1,negative,0.006769249643239411,0.004325882103664965,-0.002443367539574446,217,217
2015-02-10,3,positive,0.015775819423257408,0.016486202790088847,0.0007103833668314387,217,217
2015-02-10,3,negative,0.025468963543675692,0.02777138144335477,0.002302417899679079,216,217
2015-02-06,5,positive,0.018822253597439942,0.014906433784647915,-0.003915819812792027,218,218
2015-02-06,5,negative,0.013749067386547839,0.003499595510997982,-0.010249471875549858,217,218
2015-02-13,1,positive,0.0043797045815877145,0.003775957558611389,-0.0006037470229763257,217,216
2015-02-13,1,negative,-0.0004297077997340109,0.001135991160763106,0.0015656989604971169,216,217
2015-02-11,3,positive,0.020914567210131376,0.02607829134444623,0.005163724134314852,217,218
2015-02-11,3,negative,0.027761049049906304,0.01575248496087937,-0.012008564089026934,216,217
2015-02-09,5,positive,0.023774124096485143,0.013740544576397786,-0.010033579520087358,217,217
2015-02-09,5,negative,0.021888327794069705,0.026788072142180232,0.0048997443481105275,217,216
2015-02-17,1,positive,-0.00392562574835479,-0.003181700758150938,0.000743924990203852,217,217
2015-02-17,1,negative,0.0029683424651848404,0.004918027685488621,0.0019496852203037805,217,217
2015-02-12,3,positive,0.00981611853422331,0.011639217744598002,0.0018230992103746915,217,217
2015-02-12,3,negative,0.00993650388952684,0.007065901291187297,-0.0028706025983395436,217,217
2015-02-10,5,positive,0.02078705806793554,0.023160072031778865,0.002373013963843325,217,217
2015-02-10,5,negative,0.025751545911174303,0.026182399208561864,0.0004308532973875609,216,217
2015-02-18,1,positive,-0.0009298690032557448,-0.005631799921088227,-0.004701930917832483,217,217
2015-02-18,1,negative,-0.0008229758568145509,-0.0014960584993521813,-0.0006730826425376304,217,217
2015-02-13,3,positive,0.0006158265135547341,0.0005334023671702019,-8.24241463845322e-05,217,216
2015-02-13,3,negative,0.0002443176389441908,0.005399931715016817,0.005155614076072626,216,216
2015-02-11,5,positive,0.019450084359575594,0.025028787353163995,0.0055787029935884,217,218
2015-02-11,5,negative,0.024568069271282758,0.017358875888051246,-0.007209193383231512,216,216
2015-02-19,1,positive,0.0023964392204324837,0.002882017952196866,0.0004855787317643821,216,216
2015-02-19,1,negative,0.0008573268202388075,0.003358218861227812,0.002500892040989005,215,216
2015-02-17,3,positive,-0.006145449259232071,0.00013991156985899433,0.006285360829091065,217,217
2015-02-17,3,negative,0.0027060214996298686,0.006541465735358117,0.0038354442357282485,217,217
2015-02-12,5,positive,0.007358481706822542,0.012438184121293527,0.005079702414470985,217,217
2015-02-12,5,negative,0.012770366546335414,0.007649521122212195,-0.00512084542412322,216,216
2015-02-20,1,positive,-0.0018624443311899064,0.0003808997059275899,0.002243344037117496,216,216
