signal_date,mover,horizon,low_avol_return,high_avol_return,spread,low_signal_return,high_signal_return
2015-02-02,positive,1,0.03657562912203055,0.035682951242382514,-0.0008926778796480401,0.04384602756383781,0.04567086125795681
2015-02-02,negative,1,0.015627793520208575,0.01710842694502261,0.0014806334248140397,-0.012001028724075507,-0.01276508418301211
2015-02-03,positive,1,-0.01498212794968819,-0.017913085847415293,-0.00293095789772711,0.05831412219333922,0.05904722326684007
2015-02-03,negative,1,-0.0018695730504565578,-0.002979675707287682,-0.0011101026568311237,-0.0068043851902388885,-0.007401647763797714
2015-02-04,positive,1,0.009434687951672115,0.012071194270758178,0.0026365063190860664,0.01809023828996949,0.018456226883610073
2015-02-04,negative,1,0.021969560388603884,0.018826664355213026,-0.00314289603339086,-0.032775701479795895,-0.034410677755196
2015-02-02,positive,3,0.04085270694088446,0.041210987820277496,0.0003582808793930369,0.04384602756383781,0.04567086125795681
2015-02-02,negative,3,0.024337325369995062,0.02481115526372695,0.0004738298937318853,-0.012001028724075507,-0.01276508418301211
2015-02-05,positive,1,-0.0006972320035210111,-0.0005686194627759949,0.00012861254074501634,0.054610603568305584,0.04333553258344718
2015-02-05,negative,1,-0.0027582485304177016,-0.0009391733214389473,0.0018190752089787543,-0.009508037166869853,-0.010328749041074486
2015-02-03,positive,3,0.007564601866179382,0.005511862227358284,-0.002052739638821098,0.05831412219333922,0.05904722326684007
2015-02-03,negative,3,-0.003358909095894739,-0.0017460549027587431,0.001612854193135996,-0.0068043851902388885,-0.007401647763797714
2015-02-06,positive,1,0.0020524043494980606,-0.0035893135183133274,-0.005641717867811388,0.024151786840238006,0.026511589631704913
2015-02-06,negative,1,-0.003497376006474905,-0.007175590629232604,-0.0036782146227577,-0.03360507032927063,-0.03566007144537188
2015-02-04,positive,3,-0.004643506366487899,0.004550017230291892,0.00919352359677979,0.01809023828996949,0.018456226883610073
2015-02-04,negative,3,0.025313018173811548,0.01874408012174781,-0.00656893805206374,-0.032775701479795895,-0.034410677755196
2015-02-02,positive,5,0.04471120915893721,0.04601730103987729,0.0013060918809400849,0.04384602756383781,0.04567086125795681
2015-02-02,negative,5,0.010272788699466026,0.013858316904137377,0.0035855282046713503,-0.012001028724075507,-0.01276508418301211
2015-02-09,positive,1,-0.010630295748680808,-0.006088701360638329,0.004541594388042479,0.022828294893773353,0.02332527490010595
2015-02-09,negative,1,0.0038742888494880793,0.006410331302050837,0.0025360424525627577,-0.024284314493558133,-0.026020400190037058
2015-02-05,positive,3,-0.007403751630549095,-0.002472214889610634,0.004931536740938459,0.054610603568305584,0.04333553258344718
2015-02-05,negative,3,-0.005438696993679918,-0.00023950135266081438,0.0051991956410191035,-0.009508037166869853,-0.010328749041074486
2015-02-03,positive,5,0.0012922816345921763,-0.0013317764646226255,-0.0026240580992148025,0.05831412219333922,0.05904722326684007
2015-02-03,negative,5,-0.004573116510207562,-0.0017563374051571949,0.002816779105050368,-0.0068043851902388885,-0.007401647763797714
2015-02-10,positive,1,-0.000881973153384071,-0.0009854285422915539,-0.00010345538890748212,0.02592289535219335,0.027487781577155413
2015-02-10,negative,1,-0.0056063485078173035,-0.003470458478919705,0.002135890028897599,-0.026353158813503086,-0.02754534638119806
2015-02-06,positive,3,-0.006113390337451325,-0.00886424181985838,-0.0027508514824070513,0.024151786840238006,0.026511589631704913
2015-02-06,negative,3,-0.004741145774564458,-0.007539700250399388,-0.00279855447583493,-0.03360507032927063,-0.03566007144537188
2015-02-04,positive,5,0.00042723550733474137,0.009016412848662975,0.008589177341328236,0.01809023828996949,0.018456226883610073
2015-02-04,negative,5,0.010820892876372463,0.004835977721192881,-0.00598491515517958,-0.032775701479795895,-0.034410677755196
2015-02-11,positive,1,0.01146115022586126,0.015708111808236197,0.004246961582374935,0.018841894291774693,0.019360354632351924
2015-02-11,negative,1,0.011627343507046627,0.010238985239314859,-0.001388358267731769,-0.02291681006576001,-0.0243131261029269
2015-02-09,positive,3,0.0028811072599606155,0.0014475589154308139,-0.001433548344529802,0.022828294893773353,0.02332527490010595
2015-02-09,negative,3,0.013798409496869075,0.018212181916762125,0.004413772419893054,-0.024284314493558133,-0.026020400190037058
2015-02-05,positive,5,0.0057092704991693905,0.00853066512830763,0.0028213946291382403,0.054610603568305584,0.04333553258344718
2015-02-05,negative,5,0.002294221538649799,0.00856595833701106,0.006271736798361261,-0.009508037166869853,-0.010328749041074486
2015-02-12,positive,1,0.012081572721293721,0.00897765655260643,-0.0031039161686872924,0.035918207473427964,0.03828873445939688
2015-02-12,negative,1,0.0073332660340071475,0.0034695105508005227,-0.0038637554832066253,-0.00924359353415744,-0.009603155924278736
2015-02-10,positive,3,0.01972275945886485,0.012655812698717938,-0.00706694676014691,0.02592289535219335,0.027487781577155413
2015-02-10,negative,3,0.028435259172312523,0.025021110615966326,-0.003414148556346189,-0.026353158813503086,-0.02754534638119806
2015-02-06,positive,5,0.021829226878569946,0.011975120964154488,-0.009854105914415462,0.024151786840238006,0.026511589631704913
2015-02-06,negative,5,0.014259074188450715,0.0032704811493562483,-0.010988593039094467,-0.03360507032927063,-0.03566007144537188
2015-02-13,positive,1,0.005790618067942986,0.002343457480007988,-0.0034471605879349983,0.0341944067392234,0.03571384628316289
2015-02-13,negative,1,-0.0002543216382876929,0.001023658030278835,0.001277979668566528,-0.014672213978198003,-0.017616626055654578
2015-02-11,positive,3,0.02280090266122646,0.024172910258895182,0.0013720075976687207,0.018841894291774693,0.019360354632351924
