date,mover,low_signal_return,high_signal_return,signal_return_difference,low_rank,high_rank
2015-02-02,positive,0.04384602756383781,0.04567086125795681,0.0018248336941189963,0.8999687669179195,0.9001020280681298
2015-02-02,negative,-0.012001028724075507,-0.01276508418301211,-0.0007640554589366036,0.10013929954607921,0.0998198892266689
2015-02-03,positive,0.05831412219333922,0.05904722326684007,0.0007331010735008442,0.8998541415066839,0.9002113438554116
2015-02-03,negative,-0.0068043851902388885,-0.007401647763797714,-0.0005972625735588257,0.10028114979386167,0.09990829620066907
2015-02-04,positive,0.01809023828996949,0.018456226883610073,0.00036598859364058225,0.899785254937988,0.9002244540025892
2015-02-04,negative,-0.032775701479795895,-0.034410677755196,-0.0016349762754001018,0.10014782645007725,0.09988098718002256
2015-02-05,positive,0.054610603568305584,0.04333553258344718,-0.011275070984858401,0.9000008347942231,0.8999937390433258
2015-02-05,negative,-0.009508037166869853,-0.010328749041074486,-0.0008207118742046323,0.10021982914544898,0.10017615151912673
2015-02-06,positive,0.024151786840238006,0.026511589631704913,0.002359802791466907,0.8999380640040104,0.9000720671791443
2015-02-06,negative,-0.03360507032927063,-0.03566007144537188,-0.0020550011161012474,0.10006005598262031,0.09996448863636363
2015-02-09,positive,0.022828294893773353,0.02332527490010595,0.0004969800063325987,0.8999667099367699,0.9000575771533855
2015-02-09,negative,-0.024284314493558133,-0.026020400190037058,-0.001736085696478925,0.10017063774548807,0.09983459654118337
2015-02-10,positive,0.02592289535219335,0.027487781577155413,0.0015648862249620643,0.9000366907078161,0.8999643575981213
2015-02-10,negative,-0.026353158813503086,-0.02754534638119806,-0.0011921875676949752,0.10000503186850049,0.10002830426031532
2015-02-11,positive,0.018841894291774693,0.019360354632351924,0.0005184603405772314,0.8998489736070381,0.9001717637201508
2015-02-11,negative,-0.02291681006576001,-0.0243131261029269,-0.0013963160371668892,0.10026036866359447,0.09980310012568076
2015-02-12,positive,0.035918207473427964,0.03828873445939688,0.0023705269859689154,0.8997243401759532,0.900296397151236
2015-02-12,negative,-0.00924359353415744,-0.009603155924278736,-0.0003595623901212954,0.1002260042824559,0.09973688497882047
2015-02-13,positive,0.0341944067392234,0.03571384628316289,0.001519439543939488,0.8999771363846122,0.899934975038805
2015-02-13,negative,-0.014672213978198003,-0.017616626055654578,-0.0029444120774565746,0.10017326005789318,0.09994441414607544
2015-02-17,positive,0.024174261770035444,0.025862752140995364,0.0016884903709599199,0.9000289065772936,0.8999937159614577
2015-02-17,negative,-0.019474831585160397,-0.020569952264150808,-0.0010951206789904105,0.10028068705488061,0.09977586929199832
2015-02-18,positive,0.02238753097814059,0.023199678287443314,0.000812147309302725,0.9000726518989991,0.8999487039906203
2015-02-18,negative,-0.02330908112166973,-0.023730600801141165,-0.0004215196794714361,0.09992577781499937,0.10006595201205978
2015-02-19,positive,0.01982570337778893,0.020335626032438336,0.0005099226546494071,0.8998662048928375,0.9001263211082572
2015-02-19,negative,-0.02276268845397584,-0.02451128956419526,-0.0017486011102194193,0.09987441576487432,0.10015474335761505
