mover,horizon,n_days,controlled_baseline_pct,low_avol_return_pct,high_avol_return_pct,spread_pct,median_spread_pct,hac_se_pct,hac_t,expected_sign_pct,signal_difference_pct
positive,1,2506,0.0062705562465583675,-0.0006732318979900536,0.013214344391106785,0.013887576289096693,0.028565528148995,0.009942098740492454,1.3968455405230475,52.79329608938548,0.28114800182723493
positive,3,2506,-0.014638067370108875,-0.02818258598638884,-0.0010935487538289385,0.0270890372325598,0.059695204032605,0.021990453093353807,1.2318544378126945,52.63367916999202,0.28114800182723493
positive,5,2506,-0.02114331339542266,-0.04323558052648078,0.0009489537356354473,0.044184534262116125,0.070525569899065,0.0326932842331889,1.3514865605720263,53.232242617717475,0.28114800182723493
negative,1,2506,-0.0024487021524427902,-0.025034142351108027,0.02013673804622243,0.04517088039733026,0.03792514152417,0.011007555083994132,4.103625196753486,45.84996009577015,-0.15774646816235138
negative,3,2506,0.04061996405857694,-0.023808547895752274,0.10504847601290616,0.1288570239086581,0.11305066472648,0.024343439305300554,5.29329575384201,44.094173982442136,-0.15774646816235138
negative,5,2506,0.07483431344454368,-0.030361635841331974,0.18003026273041928,0.21039189857175078,0.19381892115704,0.038266447725573416,5.498077586939069,42.37829209896249,-0.15774646816235138
