mover,horizon,raw_spread_pct,mean_signal_gap_pct,adjusted_spread_pct,adjusted_hac_se_pct,adjusted_hac_t,signal_gap_coefficient,signal_gap_t,r_squared
positive,1,0.013887576289096693,0.28114800182723493,0.02100685927191673,0.010435865980116622,2.012948356364574,-0.02532218951068636,-1.78851798056751,0.002074128727843627
positive,3,0.0270890372325598,0.28114800182723493,0.04068296506909332,0.02237657365092284,1.8181052069790633,-0.048351500804501436,-2.115196856984392,0.0023148891245146075
positive,5,0.044184534262116125,0.28114800182723493,0.056589920318007934,0.03356134808256802,1.6861635050768744,-0.044124041342164355,-1.1600451696067517,0.00113913279365907
negative,1,0.04517088039733026,-0.15774646816235138,0.029134971212679547,0.017364248673837648,1.6778711109209465,-0.10165621691223335,-1.2261237286178248,0.0006713086565005577
negative,3,0.1288570239086581,-0.15774646816235138,0.08323671839798978,0.03352482582351414,2.4828382058172536,-0.2892001706416418,-1.9235252867769475,0.001776175274137426
negative,5,0.21039189857175078,-0.15774646816235138,0.16845956565588008,0.04876864834857563,3.4542594753049003,-0.2658210570693365,-1.3697763930587237,0.0008691828844273886
