spec,signal_date,mover,horizon,low_avol_return,high_avol_return,spread,low_signal_return,high_signal_return
TAIL10,2015-02-04,positive,1,0.009841501705364464,0.014113350780137965,0.004271849074773501,0.02762302289608911,0.028308795038970675
TAIL10,2015-02-04,negative,1,0.026858599548273687,0.024195093705255133,-0.0026635058430185543,-0.04441674967741499,-0.047675891489966996
MAIN_20D_1M_TAIL20,2015-02-02,positive,3,0.04085270694088446,0.041210987820277496,0.0003582808793930331,0.04384602756383781,0.04567086125795681
MAIN_20D_1M_TAIL20,2015-02-02,negative,3,0.024337325369995062,0.02481115526372695,0.0004738298937318891,-0.012001028724075507,-0.01276508418301211
AVOL10,2015-02-02,positive,3,0.04003583175583976,0.042080806492973175,0.002044974737133415,0.04390313078573356,0.04561257691906066
AVOL10,2015-02-02,negative,3,0.025274560735931918,0.023929575901208394,-0.0013449848347235234,-0.012142226440219707,-0.012633796818163503
LIQ5M,2015-02-02,positive,3,0.04148992850500425,0.03990429186710783,-0.0015856366378964176,0.04529760148437935,0.04693545850510489
LIQ5M,2015-02-02,negative,3,0.025036736251246146,0.02442903407412473,-0.0006077021771214164,-0.011856895453476323,-0.01301876973881862
LIQ10M,2015-02-02,positive,3,0.0419989570846332,0.04077783757347894,-0.0012211195111542575,0.045153352186670825,0.04628605277132008
LIQ10M,2015-02-02,negative,3,0.024414655223871533,0.023684318728678946,-0.0007303364951925864,-0.011453081684713299,-0.013065262782321207
TAIL10,2015-02-02,positive,3,0.05147140616739807,0.04682341078872201,-0.004647995378676065,0.05731606944077763,0.06096617338433584
TAIL10,2015-02-02,negative,3,0.0306082065878646,0.026926399656914658,-0.0036818069309499414,-0.019016686166736282,-0.020498369395191847
MAIN_20D_1M_TAIL20,2015-02-05,positive,1,-0.0006972320035210111,-0.0005686194627759949,0.0001286125407450162,0.054610603568305584,0.04333553258344718
MAIN_20D_1M_TAIL20,2015-02-05,negative,1,-0.0027582485304177016,-0.0009391733214389473,0.0018190752089787543,-0.009508037166869853,-0.010328749041074486
AVOL10,2015-02-05,positive,1,0.0007950683354491252,-0.001960624692654982,-0.0027556930281041076,0.05453055004880406,0.04341523361920001
AVOL10,2015-02-05,negative,1,-0.0027057153191692223,-0.0009711777571718717,0.0017345375619973505,-0.009484279383239988,-0.010354160790816289
LIQ5M,2015-02-05,positive,1,0.002036497631927645,-0.00051609898174255,-0.0025525966136701952,0.059702405140937234,0.04394458069218669
LIQ5M,2015-02-05,negative,1,-0.0026922383210977604,-0.0021596417920642314,0.000532596529033529,-0.009532742285795572,-0.01089390379557581
LIQ10M,2015-02-05,positive,1,-0.0005234230793913644,0.001070990996040972,0.0015944140754323365,0.061053869658688496,0.0431002347389268
LIQ10M,2015-02-05,negative,1,-0.003276692579843367,-0.0035121391766780767,-0.00023544659683470996,-0.009037493883095955,-0.009771047339048064
TAIL10,2015-02-05,positive,1,-0.0006323642591519211,-0.0008784705386937573,-0.00024610627954183614,0.08241818094666183,0.059874620709302204
TAIL10,2015-02-05,negative,1,-0.003690624411215257,-8.004551209444904e-05,0.003610578899120808,-0.017601245714643134,-0.01924684637786045
MAIN_20D_1M_TAIL20,2015-02-03,positive,3,0.007564601866179382,0.005511862227358284,-0.002052739638821098,0.05831412219333922,0.05904722326684007
MAIN_20D_1M_TAIL20,2015-02-03,negative,3,-0.003358909095894739,-0.0017460549027587431,0.0016128541931359958,-0.0068043851902388885,-0.007401647763797714
AVOL10,2015-02-03,positive,3,0.007455991037463415,0.005559274500575073,-0.0018967165368883416,0.058359032514502675,0.059003125158109945
AVOL10,2015-02-03,negative,3,-0.003558847580464737,-0.0015531288642338878,0.002005718716230849,-0.006935204897315315,-0.007281502787841526
LIQ5M,2015-02-03,positive,3,0.008053469599536187,0.007997233116826923,-5.623648270926436e-05,0.058356298227269676,0.059147817471594144
LIQ5M,2015-02-03,negative,3,-0.0033401493949196427,-0.003989217020703592,-0.0006490676257839495,-0.005276075594799876,-0.00596265055277332
LIQ10M,2015-02-03,positive,3,0.0006794522831650038,0.01100561706544296,0.010326164782277956,0.059066988304942614,0.05910923387163566
LIQ10M,2015-02-03,negative,3,-0.002818229772311304,-0.00632226295385982,-0.0035040331815485155,-0.004703813129285474,-0.0051868673226384745
TAIL10,2015-02-03,positive,3,0.00896475956355552,0.008923990713140414,-4.076885041510471e-05,0.07834185170014511,0.07977097690512089
TAIL10,2015-02-03,negative,3,-0.0008173852732591112,-0.0030262257330936054,-0.0022088404598344944,-0.014138438001633901,-0.015295849293128855
