Sample,Mover,Horizon,N,High-Low Spread (bps),Median Spread (bps),HAC SE (bps),HAC t-stat,Positive Spread Days (%),Signal-Day Gap (bps),Adjusted Spread (bps),Adjusted HAC t-stat
Development,Positive,1D,2506,1.3887576289096693,2.8565528148995,0.9942098740492454,1.3968455405230475,52.79329608938548,28.114800182723492,2.100685927191673,2.012948356364574
Development,Positive,3D,2506,2.7089037232559785,5.9695204032605,2.199045309335381,1.2318544378126945,52.63367916999202,28.114800182723492,4.068296506909332,1.8181052069790633
Development,Positive,5D,2506,4.418453426211613,7.0525569899065,3.2693284233188904,1.3514865605720263,53.232242617717475,28.114800182723492,5.658992031800794,1.6861635050768744
Development,Negative,1D,2506,4.517088039733025,3.792514152417,1.1007555083994132,4.103625196753486,54.15003990422985,-15.774646816235139,2.913497121267955,1.6778711109209465
Development,Negative,3D,2506,12.88570239086581,11.305066472648,2.4343439305300554,5.29329575384201,55.90582601755786,-15.774646816235139,8.323671839798978,2.4828382058172536
Development,Negative,5D,2506,21.039189857175074,19.381892115703998,3.8266447725573416,5.498077586939069,57.62170790103751,-15.774646816235139,16.845956565588008,3.4542594753049003
Holdout,Positive,1D,225,-1.3116271891058817,-2.970107839802,4.867632434980809,-0.26945896318711104,45.77777777777778,63.6779343374632,-4.862169823841055,-0.804134849568183
Holdout,Positive,3D,225,11.821101976472615,14.683897614487,9.573668543019934,1.234751539950823,55.111111111111114,63.6779343374632,10.403590887773559,0.8773244832738345
Holdout,Positive,5D,225,14.83574631634272,11.560002072794,14.677241668844527,1.0107993484793978,54.22222222222223,63.6779343374632,13.31943712410543,0.8018903577360578
Holdout,Negative,1D,225,13.827827866082467,5.030183473587,4.778961361491582,2.893479737565111,53.333333333333336,-15.065895210816416,13.865811744525375,2.1818693390099884
Holdout,Negative,3D,225,42.7421379966135,44.767025921263,11.585634504807123,3.689235835886148,63.11111111111111,-15.065895210816416,49.00045212408116,3.0872236920233758
Holdout,Negative,5D,225,61.283687589830826,60.813030206502,18.363246007640672,3.337301453366774,62.66666666666667,-15.065895210816416,70.48405301348433,2.9558143108835657
